"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.65",11.7507303989148
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.7",12.5733967886156
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.75",13.3694360528097
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.8",14.3933073917257
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.85",15.4074015309028
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.9",16.7519879906404
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.95",18.4752115123407
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.975",19.917426091809
2023-11-22,"ILI incidence",2023-12-03,3,"DE","quantile","0.99",21.7324485780552
2023-11-22,"ILI incidence",2023-12-10,4,"DE","median","",5.81061344419285
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.01",0
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.025",0
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.05",0
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.1",0
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.15",0.713353262182244
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.2",1.68717158374458
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.25",2.44412993582531
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.3",3.08713127366141
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.35",3.77025755411199
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.4",4.40365497927107
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.45",5.16668116181534
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.5",5.30613444192853
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.55",6.66499505751278
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.6",7.00221036302474
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.65",7.65802502018914
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.7",8.39274956597367
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.75",9.19788173093609
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.8",10.088851502651
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.85",10.4364011006214
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.9",12.5241641487756
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.95",13.7948458463079
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.975",15.263321016159
2023-11-22,"ILI incidence",2023-12-10,4,"DE","quantile","0.99",16.5907514911567
